ticker,earn_date
CRWD,20230531
CRWD,20230307
CRWD,20221129
CRWD,20220830
CSGP,20250429
CSGP,20250218
CSGP,20241022
CSGP,20240723
CSGP,20240422
CSGP,20240220
CSGP,20231024
CSGP,20230725
CSGP,20230425
CSGP,20230221
CSGP,20221025
CSGP,20220726
CSX,20250416
CSX,20250123
CSX,20241016
CSX,20240805
CSX,20240417
CSX,20240124
CSX,20231019
CSX,20230720
CSX,20230420
CSX,20230125
CSX,20221020
CSX,20220720
CUBE,20250501
CUBE,20250227
CUBE,20241031
CUBE,20240801
CUBE,20240425
CUBE,20240229
CUBE,20231102
CUBE,20230803
CUBE,20230427
CUBE,20230223
CUBE,20221027
CUBE,20220804
CVE,20250508
CVE,20250220
CVE,20241031
CVE,20240801
CVE,20240501
CVE,20240215
CVE,20231102
CVE,20230727
CVE,20230426
CVE,20230216
CVE,20221102
CVE,20220728
CVNA,20250507
CVNA,20250219
CVNA,20241030
CVNA,20240731
CVNA,20240501
CVNA,20240222
CVNA,20231102
CVNA,20230719
CVNA,20230504
CVNA,20230223
CVNA,20221103
CVNA,20220804
CVS,20250501
CVS,20250212
CVS,20241106
CVS,20240807
CVS,20240501
CVS,20240207
CVS,20231101
CVS,20230802
CVS,20230503
CVS,20230208
CVS,20221102
CVS,20220803
CZR,20250429
CZR,20250225
CZR,20241029
CZR,20240730
CZR,20240430
CZR,20240220
CZR,20231031
CZR,20230801
CZR,20230502
CZR,20230221
CZR,20221101
CZR,20220802
D,20250501
D,20250212
D,20241101
D,20240801
D,20240502
D,20240222
D,20231103
D,20230804
D,20230505
D,20230208
D,20221104
D,20220808
DAL,20250409
DAL,20250110
DAL,20241010
DAL,20240711
DAL,20240410
DAL,20240112
DAL,20231012
DAL,20230713
DAL,20230413
DAL,20230113
DAL,20221013
DAL,20220713
DASH,20250506
DASH,20250211
DASH,20241030
DASH,20240801
DASH,20240501
DASH,20240215
DASH,20231101
DASH,20230802
DASH,20230504
DASH,20230216
DASH,20221103
DASH,20220804
DDOG,20250506
DDOG,20250213
DDOG,20241107
DDOG,20240808
DDOG,20240507
DDOG,20240213
DDOG,20231107
DDOG,20230808
DDOG,20230504
DDOG,20230216
DDOG,20221103
DDOG,20220804
DE,20250515
DE,20250213
DE,20241121
DE,20240815
DE,20240516
DE,20240215
DE,20231122
DE,20230818
DE,20230519
DE,20230217
DE,20221123
DE,20220819
DELL,20250529
DELL,20250227
DELL,20241126
DELL,20240829
DELL,20240530
DELL,20240229
DELL,20231130
DELL,20230831
DELL,20230601
DELL,20230302
DELL,20221121
DELL,20220825
DEO,20230125
DHI,20250417
DHI,20250121
DHI,20241029
DHI,20240718
DHI,20240418
DHI,20240123
DHI,20231107
DHI,20230720
DHI,20230420
DHI,20230124
DHI,20221109
DHI,20220721
DHR,20250422
DHR,20250129
DHR,20241022
DHR,20240723
DHR,20240423
DHR,20240130
DHR,20231024
DHR,20230725
DHR,20230425
DHR,20230124
DHR,20221020
DHR,20220721
DINO,20250501
DINO,20250220
DINO,20241031
DINO,20240801
DINO,20240508
DINO,20240221
DINO,20231102
DINO,20230803
DINO,20230504
DINO,20230224
DINO,20221107
DINO,20220808
DKNG,20250508
DKNG,20250213
DKNG,20241107
DKNG,20240801
DKNG,20240502
DKNG,20240215
DKNG,20231102
DKNG,20230803
DKNG,20230504
DKNG,20230216
DKNG,20221104
DKNG,20220805
DLR,20250424
DLR,20250213
DLR,20241024
DLR,20240725
DLR,20240502
DLR,20240215
DLR,20231026
DLR,20230727
DLR,20230427
DLR,20230216
DLR,20221026
DLR,20220728
DLTR,20250604
DLTR,20250326
DLTR,20241204
DLTR,20240904
DLTR,20240605
DLTR,20240313
DLTR,20231129
DLTR,20230824
DLTR,20230525
DLTR,20230301
DLTR,20221122
DLTR,20220825
DOCU,20250605
DOCU,20250313
DOCU,20241205
DOCU,20240905
DOCU,20240606
DOCU,20240307
DOCU,20231207
DOCU,20230906
DOCU,20230608
DOCU,20230309
DOCU,20221208
DOCU,20220908
DOW,20250424
DOW,20250130
DOW,20241024
DOW,20240725
DOW,20240425
DOW,20240125
DOW,20231024
DOW,20230725
DOW,20230425
DOW,20230126
DOW,20221020
DOW,20220721
DTE,20250501
DTE,20250213
DTE,20241024
DTE,20240725
DTE,20240425
DTE,20240208
DTE,20231101
DTE,20230727
DTE,20230427
DTE,20230223
DTE,20221027
DTE,20220728
DUK,20250506
DUK,20250213
DUK,20241107
DUK,20240806
DUK,20240507
DUK,20240208
DUK,20231102
DUK,20230808
DUK,20230509
DUK,20230209
DUK,20221104
DUK,20220804
DVN,20250506
DVN,20250218
DVN,20241105
DVN,20240806
DVN,20240501
DVN,20240227
DVN,20231107
DVN,20230801
DVN,20230509
DVN,20230214
DVN,20221101
DVN,20220801
DXCM,20250501
DXCM,20250213
DXCM,20241024
DXCM,20240725
DXCM,20240425
DXCM,20240208
DXCM,20231026
DXCM,20230727
DXCM,20230427
DXCM,20230209
DXCM,20221027
DXCM,20220728
EA,20250506
EA,20250204
EA,20241029
EA,20240730
EA,20240507
EA,20240130
EA,20231101
EA,20230801
EA,20230509
EA,20230131
EA,20221101
EA,20220802
EBAY,20250430
EBAY,20250226
EBAY,20241030
EBAY,20240731
EBAY,20240501
EBAY,20240227
EBAY,20231107
EBAY,20230726
EBAY,20230426
EBAY,20230222
EBAY,20221102
EBAY,20220803
EC,20250508
EC,20250304
EC,20241114
EC,20240813
EC,20240506
EC,20240418
EC,20231107
EC,20230810
EC,20230512
EC,20230329
EC,20221108
EC,20220817
EMR,20250507
EMR,20250205
EMR,20241105
EMR,20240807
EMR,20240508
EMR,20240207
EMR,20231107
EMR,20230802
EMR,20230503
EMR,20230208
EMR,20221031
EMR,20220809
ENB,20250509
ENB,20250214
ENB,20241101
ENB,20240802
ENB,20240510
ENB,20240209
ENB,20231103
ENB,20230804
ENB,20230505
ENB,20230210
ENB,20221104
ENB,20220729
ENPH,20250422
ENPH,20250204
ENPH,20241022
ENPH,20240723
ENPH,20240423
ENPH,20240206
ENPH,20231026
ENPH,20230727
ENPH,20230425
ENPH,20230207
ENPH,20221025
ENPH,20220726
ENVX,20250430
ENVX,20250219
ENVX,20241029
ENVX,20240731
ENVX,20240501
ENVX,20240220
ENVX,20231107
ENVX,20230726
ENVX,20230426
ENVX,20230222
ENVX,20221101
ENVX,20220810
EOG,20250501
EOG,20250227
EOG,20241107
EOG,20240801
EOG,20240502
EOG,20240222
EOG,20231102
