tk,n,rho_infl,p_infl,rho_trad,p_trad,mean_pre_bps,mean_trad_bps,mean_infl_bps
NEOG,734136,0.0431885660350189,5.083924362092403e-300,0.0055550091352689,1.939223124161023e-06,-75.38519884501248,41.88658287714204,0.1728739978657514
NOW,883913,0.0144453588495794,5.1396893935132464e-42,0.0115294317282362,2.2264110213430326e-27,-33.61875105173044,1147.887832400917,1130.400985872297
NWL,742959,0.0376496407056716,3.4834198414731506e-231,0.0037900868844664,0.0010874196764299,-104.8080931884933,62.39226252618196,7.477392866679751
PANW,1182952,0.0087618050342552,1.5754534318880529e-21,0.0001890172710849,0.8371176208922881,-8.930132256232314,0.5699468961200705,1.7690297158031647
PEP,1603883,0.013089926406895,9.990283436845798e-62,0.0171726645301717,6.93479205809e-105,0.3068906920584983,-9.94038843707117,0.4273395809061066
PLTR,1036824,0.0135969340362167,1.3516983025480304e-43,-0.0036697039848879,0.000186475003135,-136.02632292524257,49.22876569445036,-1.4666571194870195
QQQM,900499,0.0217548062294368,1.0483096226217016e-94,0.0030887306699201,0.0033782674250545,-3.3427916831743603,1.853731969395744,0.4423448659925015
ROKU,1265625,0.0326708636426731,6.820536105901028e-296,0.0228213481990764,2.094169681084422e-145,-98.03230660879753,32.68661136161793,6.229663545706432
SCHW,1621734,0.0091549893803726,2.067707326546741e-31,-0.004345441654965,3.1332094529380493e-08,-32.90156619509158,3.3371409216742283,0.4192763431400487
SNPS,791969,0.0195331797380334,1.0770576854210922e-67,0.0097592289398758,3.781145363902577e-18,-18.757858887232565,14.636278923083406,1.5939766628549414
STM,1423442,0.0102063794518226,4.104376211778355e-34,0.0001405650051689,0.866815146565726,-44.29331848508103,26.193948529568964,2.578209433210912
TCOM,1131356,0.0143777400515528,8.424095562850872e-53,0.0147092987288876,3.5151319658619745e-55,-10.839930097686336,1.9493774518490683,-0.698180574984513
TME,783357,0.0265910908317167,1.6186973899016095e-122,-0.0003327861892222,0.7683452013939677,-55.12535247289441,20.16864955144535,5.209550959352439
TSLA,507728,0.0055408287362362,7.87607321897882e-05,0.0394486763521975,5.572452503618155e-174,-9.457959446898066,10.070631096459502,4.417657442305207
TWLO,1154371,0.0324413912130019,2.5488569647474583e-266,0.0083772919123258,2.239777055992606e-19,-101.16595862340596,52.80651701847486,5.641712381464722
UPS,1308529,0.0220290785329897,3.779106213680388e-140,0.009805591614456,3.3661210203793975e-29,-24.7883788736424,15.790810056926174,3.875470418933869
VONG,538143,0.0336057045767106,2.913600382735403e-134,5.289003614486669e-05,0.9690505587278296,-5.789895180841196,6.250734598357668,1.725917315911361
WCLD,240595,0.0498435805749967,3.606831625837037e-132,-0.0005853464882721,0.7740251709305384,-18.930309870476663,16.340306978651924,3.15397518479524
XEL,1420091,0.0186843820232559,7.609119929430594e-110,-0.002563556147572,0.0022511311303211,-3.960074494996452,-2.6108556404690457,0.1628317086535124
