tk,n,flow_oc,p_oc,flow_cc,dir_oc,mean_dir,frac_short
CVE,946,0.05956105216781306,0.0670811809832285,0.07216942967618382,0.026231285898872348,-0.7949260042283298,0.8974630021141649
CVNA,944,-0.06375260343029275,0.050210174445255086,-0.07230948571137116,0.11252438481483977,-0.8707627118644068,0.9353813559322034
CVS,864,0.06793355809336438,0.04590712319342138,0.06314062280260285,-0.006853252185273254,-0.6342592592592593,0.8171296296296297
CZR,941,0.06792164817387149,0.037234607006842946,0.09341077765307272,0.06921458461044726,-0.9723698193411264,0.9861849096705633
D,919,0.0143194134318535,0.6646336872454836,0.031159536967547325,0.0500178280468138,-0.8324265505984766,0.9162132752992383
DAL,898,-0.0705278922039824,0.034585997173158085,-0.042938529832954,-0.036468655118586144,-0.8530066815144766,0.9265033407572383
DASH,940,0.09082296542339005,0.005325839123668394,0.063359982274865,0.008046703953208436,-0.9659574468085106,0.9829787234042553
DDOG,991,-0.08419047343073859,0.008008933244129884,-0.15704966653229002,,-1.0,1.0
DE,907,0.15246698487913457,3.980029769664246e-06,0.21350079704035815,0.015234088981622913,0.6383682469680264,0.18081587651598677
DELL,881,0.08831369568675936,0.00872360408159799,0.1565766440117291,0.014771523579134119,-0.677639046538025,0.8388195232690124
DEO,952,0.03984348587212648,0.21936315386785513,-0.08170658105748918,0.016201635859547734,-0.9600840336134454,0.9800420168067226
DGRW,944,0.02046146167302275,0.5300677149437605,0.02342867694267508,0.024674695656788773,-0.5911016949152542,0.7955508474576272
DHI,945,-0.09506960917535047,0.0034414572476211586,-0.04551256229411197,-0.026348275768064706,-0.8899470899470899,0.944973544973545
DINO,905,0.0044687286140832885,0.8932059909972915,0.0365972938722073,0.0069296356346324256,-0.8209944751381215,0.9104972375690608
DIS,10,,,,,-1.0,1.0
DKNG,918,0.09814591326843146,0.002912613450961954,0.07823518338410174,0.04433125528874676,-0.9978213507625272,0.9989106753812637
DLR,950,0.012995837818793146,0.6891210552756578,-0.029804178920356417,-0.006231513935903409,-0.9957894736842106,0.9978947368421053
DLTR,925,0.0179150227413995,0.5863237681917425,0.2260054958658304,0.060921384453022795,-0.9005405405405406,0.9502702702702702
DOCU,939,0.008658976793675067,0.7910175630451654,-0.07105150483626382,-0.0002926585447844143,-0.9808306709265175,0.9904153354632588
DOW,937,-0.0024748949415781315,0.9396922640304214,0.04471056684845862,0.030582052642300014,-0.9124866595517609,0.9562433297758804
DTE,930,-0.06893247304286451,0.03556806740012673,-0.0542564624473692,-0.05526660441723769,0.875268817204301,0.06236559139784946
DUK,902,0.08943097116382288,0.007197384271734881,0.09468689989367517,0.09509486638834626,0.015521064301552107,0.49223946784922396
DVN,916,0.1654050287704778,4.804962750122103e-07,0.20236545167970227,-0.007188917511756066,-0.9497816593886463,0.9748908296943232
DVY,950,-0.029189920809844113,0.3688120735439876,-0.07145633228155798,-0.01843523642263551,0.9831578947368421,0.008421052631578947
DXCM,857,0.03268768029598397,0.3391852786334904,0.25886487427017035,0.013349781691113064,-0.5775962660443408,0.7887981330221704
EA,943,-0.16003634083318546,7.820358985270697e-07,-0.1300582484908439,0.008823863985619193,-0.6988335100742312,0.8494167550371156
EBAY,815,-0.0897508869700782,0.010363190272864094,0.03354033035112249,0.010094974735671409,-0.47730061349693254,0.7386503067484662
EC,999,0.020228918841995548,0.5230574641385641,0.02608607108785233,-0.019359338554000224,-0.6936936936936937,0.8468468468468469
EMB,951,-0.019467437814065472,0.5487663797582982,-0.010871971042896745,-0.029716081732481532,-0.9221871713985279,0.961093585699264
EMR,861,0.01830756827652065,0.5916407567082371,0.026304192125507685,0.00231837815860049,0.5679442508710801,0.21602787456445993
ENB,951,0.02762792988310702,0.3947471570986258,0.10169681394627561,-0.036642490868328555,-0.8086225026288117,0.9043112513144059
ENPH,948,0.047261513765652026,0.14593073010668778,0.14065778964084352,0.012661802620614292,-0.9978902953586498,0.9989451476793249
ENVX,950,0.09941004752868147,0.002157919056939787,0.07970970320146582,,-1.0,1.0
EQH,933,-0.08077313182670812,0.013589113483681588,-0.006088103836143041,-0.025203063146266542,-0.5562700964630225,0.7781350482315113
EQIX,950,0.06351312186915557,0.0503469239604841,0.029998047439828063,0.0063961385698634195,-0.791578947368421,0.8957894736842106
EQNR,952,0.0754419320137974,0.019913011533292762,-0.03222648037396948,0.007602846034929109,-0.9789915966386554,0.9894957983193278
EQR,945,-0.03035929289001598,0.35120724324252445,-0.02482914492487962,-0.029515501143913995,-0.6338624338624339,0.816931216931217
EQT,871,0.011603730105291468,0.7323680297375601,0.0642220697226029,-0.0050688128651728385,-0.5958668197474167,0.7979334098737084
